==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x00005010  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(146, 18)]
  0x00005011  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(146, 18)]
  0x00005101  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005102  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005103  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005104  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005105  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005106  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005107  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005108  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005109  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x0000510A  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x0000510B  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x0000510C  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x0000510D  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x0000510E  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x0000510F  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005110  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00005111  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(103, 18)]
  0x00006001  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006002  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006003  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006004  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006005  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006006  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006007  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006008  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006009  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x0000600A  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x0000600B  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x0000600C  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(96, 18)]
  0x00006101  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006102  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006103  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006104  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006105  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006106  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006107  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006108  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00006109  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x0000610A  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x0000610B  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x0000610C  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(78, 18)]
  0x00008001  2 scripts ['0b72f276', '2bc9060f']  sizes [(94, 17)]
  0x00008002  2 scripts ['0b72f276', '2bc9060f']  sizes [(94, 17)]
  0x00008003  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
  0x00008004  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
  0x00008005  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
  0x00008006  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
  0x00008007  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
