archive : <PROJECT-ROOT> 1 Project\1 Completed Projects\SC4UIScale\tools\packages\15x\z_SC4UIScale_SelectiveArt-15x.dat  (21339964 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A8455DA  modified 0x6A8455DA
index   : 655 entries @ 0x1456C10 (13100 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x14415879 0x0052B912 58747
0x856DDBAC 0x46A006B0 0x1441587A 0x00539E8D 54721
0x856DDBAC 0x46A006B0 0x1441587B 0x0054744E 4602
0x856DDBAC 0x46A006B0 0x14415880 0x00548648 6113
0x856DDBAC 0x46A006B0 0x14415881 0x00549E29 32296
0x856DDBAC 0x46A006B0 0x14415882 0x00551C51 28424
0x856DDBAC 0x46A006B0 0x14415883 0x00558B59 32429
0x856DDBAC 0x46A006B0 0x14415886 0x00560A06 24866
0x856DDBAC 0x46A006B0 0x14415887 0x00566B28 23263
0x856DDBAC 0x46A006B0 0x14415888 0x0056C607 22848
0x856DDBAC 0x46A006B0 0x14415889 0x00571F47 22836
0x856DDBAC 0x46A006B0 0x1441588A 0x0057787B 18032
0x856DDBAC 0x46A006B0 0x14416102 0x0057BEEB 3045
0x856DDBAC 0x46A006B0 0x14416103 0x0057CAD0 3031
0x856DDBAC 0x46A006B0 0x14416104 0x0057D6A7 3035
0x856DDBAC 0x46A006B0 0x14416105 0x0057E282 2988
0x856DDBAC 0x46A006B0 0x14416106 0x0057EE2E 2625
0x856DDBAC 0x46A006B0 0x144161E9 0x0057F86F 7977
0x856DDBAC 0x46A006B0 0x144161EA 0x00581798 7545
0x856DDBAC 0x46A006B0 0x144161F0 0x00583511 11141
0x856DDBAC 0x46A006B0 0x144161F7 0x00586096 17486
0x856DDBAC 0x46A006B0 0x144161F8 0x0058A4E4 44265
0x856DDBAC 0x46A006B0 0x144161FA 0x005951CD 9400
0x856DDBAC 0x46A006B0 0x14416241 0x00597685 279
0x856DDBAC 0x46A006B0 0x14416242 0x0059779C 131
0x856DDBAC 0x46A006B0 0x14416244 0x0059781F 6238
0x856DDBAC 0x46A006B0 0x14416250 0x0059907D 550
0x856DDBAC 0x46A006B0 0x14416251 0x005992A3 558
0x856DDBAC 0x46A006B0 0x14416252 0x005994D1 547
0x856DDBAC 0x46A006B0 0x14416253 0x005996F4 996
0x856DDBAC 0x46A006B0 0x14416254 0x00599AD8 550
0x856DDBAC 0x46A006B0 0x14416255 0x00599CFE 558
0x856DDBAC 0x46A006B0 0x14416256 0x00599F2C 547
0x856DDBAC 0x46A006B0 0x14416257 0x0059A14F 996
0x856DDBAC 0x46A006B0 0x14416258 0x0059A533 571
0x856DDBAC 0x46A006B0 0x14416259 0x0059A76E 573
0x856DDBAC 0x46A006B0 0x1441625A 0x0059A9AB 553
0x856DDBAC 0x46A006B0 0x1441625B 0x0059ABD4 969
0x856DDBAC 0x46A006B0 0x1441625C 0x0059AF9D 596
0x856DDBAC 0x46A006B0 0x1441625D 0x0059B1F1 625
0x856DDBAC 0x46A006B0 0x1441625E 0x0059B462 602
