--- table at 0x00A8E6D0 [.rdata] 19 entries ---
   0x00B08098  0x49D15B72  kMessageTypeFireDisasterSeverityChange
   0x00B080A0  0x49D15B73  kMessageTypeFireDisasterObjectsIgnited
   0x00B080A8  0xCA1B1E64  kMessageTypeDisasterPeriodStarted
   0x00B080B0  0xAA1B2002  kMessageTypeDisasterPeriodEnded
   0x00B080B8  0xA9C7CAB6  kMessageTypeDisasterPhaseChange
   0x00B080C0  0x49E3DB1D  kMessageTypeDisasterFireStarter
   0x00B080C8  0x87163754  kMessageTypeFileChangeNotification
   0x00B080D0  0x88EA4DFF  kMessageTypeMapChanged
   0x00B080D8  0x08DAC3E7  kMessageTypeFundingPercentageChanged
   0x00B080E0  0x08DAC3E8  kMessageTypeIdealMonthlyFundingChanged
   0x00B080E8  0x68F54CE0  kMessageTypeSimCycleComplete
   0x00B080F0  0x68F54CE1  kMessageTypeStrikeBegin
   0x00B080F8  0x68F54CE2  kMessageTypeStrikeEnd
   0x00B08100  0x08F415FE  kMessageTypeSimCycleComplete
   0x00B08108  0x87CC75B3  kMessageTypeMapChanged
   0x00B08110  0x4C04DE69  kMessageType_LotDeveloperNotification
   0x00B08118  0xAA667CE2  kMessageTypeZooEscape
   0x00B08120  0xA8DAF510  kMessageTypeSimCycleComplete
   0x00B08128  0xA8DAF511  kMessageTypeStrikeBegin
   0x00B08130  0xA8DAF512  kMessageTypeStrikeEnd
   0x00B08138  0xA949569A  kMessageTypePoliceBuildingChange
   0x00B08140  0x2A614891  kMessageTypeJailbreakBegin
   0x00B08148  0x2A614892  kMessageTypeJailbreakEnd
   0x00B08150  0xCA358F85  kMessageTypeStrikeBegin
   0x00B08158  0xCA358F9C  kMessageTypeStrikeEnd
   0x00B08160  0x6A07C2EE  kMessageTypeMapChanged
   0x00B08168  0xC8EA5018  kMessageTypeSimCycleComplete
   0x00B08170  0x8A09FA64  kSC4MessageAdvisors_AdviceAdded
   0x00B08178  0x8A09FA65  kSC4MessageAdvisors_AdviceRemoved
   0x00B08180  0x8A09FA66  kSC4MessageAdvisors_AdviceChanged
   0x00B08188  0x8A09FA67  kSC4MessageAdvisors_AdviceRemovedAll
   0x00B08190  0x8A09FA6C  kSC4MessageAdvisors_AdviceCommand
   0x00B08198  0x8A09FA68  kSC4MessageAdvisors_AdvisorChanged
   0x00B081A0  0x8A09FA69  kSC4MessageAdvisors_AdvisorRemoved
   0x00B081A8  0x8A09FA6A  kSC4MessageAdvisors_AdvisorAdded
   0x00B081B0  0x8A09FA6B  kSC4MessageAdvisors_AdvisorRemovedAll
   0x00B081B8  0xEA917750  kSC4MessageAdvisors_AdviceDebugCheat_DebugShowGUID
   0x00B081C0  0x8A917759  kSC4MessageAdvisors_AdviceDebugCheat_DebugRefresh
   0x00B081C8  0x4A91DD6E  kSC4MessageAdvisors_AdviceDebugCheat_DebugTrigger
   0x00B081D0  0x4A92ECEF  kSC4MessageAdvisors_AdviceDebugCheat_DebugPrint
   0x00B081D8  0xEA5BDFBC  kSC4MessageAdvisors_BudgetWindow
   0x00B081E0  0xCA5BDFB0  kSC4MessageAdvisors_Data1_BudgetWindowMainSmall
   0x00B081E8  0x4A5BDFB8  kSC4MessageAdvisors_Data1_BudgetWindowMainLarge
   0x00B081F0  0x6A5BDFCD  kSC4MessageAdvisors_DataMapWindow
   0x00B081F8  0x6A720993  kSC4MessageAdvisors_GraphWindow
   0x00B08200  0x0B6F3E27  kSC4MessageMySim_DebugPrintMySimsInfo
   0x00B08208  0xAB6F3E2D  kSC4MessageMySim_DebugPrintMySimChangeJob
   0x00B08210  0x4B6F3EBF  kSC4MessageMySim_DebugPrintMySimChangeHouse
   0x00B08218  0x0BB04126  kSC4MessageMySim_DebugPrintMySimDispatch
   0x00B08220  0x8BBBD22A  kSC4MessageMySim_FollowWithCamera
   0x00B08228  0xAA25827C  kSC4MessageMySims_MySimsChanged
   0x00B08230  0xEA3ADA33  kSC4MessageMySims_MySimMovedIn
   0x00B08238  0xAA3840E6  kSC4MessageTutorial_EndTutorial
   0x00B08240  0xEBAB04B2  kSC4MessageTypeMySimDispatchFollow
   0x00B08248  0xEBAB04F3  kSC4MessageTypeMySimDispatchActivate
   0x00B08250  0x86AD10EE  kSC4MessageAnimationTick
   0x00B08258  0x86AD10EF  kSC4MessageAnimationTickPriority
   0x00B08260  0x28E9397A  kSC4MessagePreAppInit
   0x00B08268  0x28E9397B  kSC4MessagePostAppInit
   0x00B08270  0x28E9397C  kSC4MessagePreAppShutdown
   0x00B08278  0x28E9397D  kSC4MessagePostAppShutdown
   0x00B08280  0x8B8B2CED  kSC4MessageInsertBuildingOccupant
   0x00B08288  0x8B8B2CEE  kSC4MessageRemoveBuildingOccupant
   0x00B08290  0xC8DAC052  kSC4MessageBuildingOccupantStateChange
   0x00B08298  0x2977AE2F  kSC4MessageBuildingCompletionChange
   0x00B082A0  0x09D8E0B6  kSC4MessageBuildingVisualStateChange
   0x00B082A8  0x26D31EC0  kSC4MessagePreCityInit
   0x00B082B0  0x26D31EC1  kSC4MessagePostCityInit
   0x00B082B8  0xEA8AE29A  kSC4MessagePostCityInitComplete
   0x00B082C0  0x26D31EC2  kSC4MessagePreCityShutdown
   0x00B082C8  0x26D31EC3  kSC4MessagePostCityShutdown
   0x00B082D0  0x26D31EC4  kSC4MessageCityEstablished
   0x00B082D8  0x26D31EC5  kSC4MessageCityObliterated
   0x00B082E0  0xEA65224E  kSC4MessageCityObliterationSceneEnded
   0x00B082E8  0x0AB99380  kSC4MessageCityNameChanged
   0x00B082F0  0x0AB99381  kSC4MessageMayorNameChanged
   0x00B082F8  0xA6DDE60A  kSC4MessagePreDemolishOccupant
   0x00B08300  0xA6DDE60B  kSC4MessagePostDemolishOccupant
   0x00B08308  0xA6DDE60C  kSC4MessagePreDemolishArea
   0x00B08310  0xA6DDE60D  kSC4MessagePostDemolishArea
   0x00B08318  0xAA7A014D  kSC4MessagePreDemolishNetworkOccupant
   0x00B08320  0x4A809914  kSC4MessageHeaderFontStyleID
   0x00B08328  0x4A809915  kSC4MessageBodyFontStyleID
   0x00B08330  0x26C63340  kSC4MessagePreLoad
   0x00B08338  0x26C63341  kSC4MessageLoad
   0x00B08340  0x26C63342  kSC4MessagePostLoad
   0x00B08348  0x26C63343  kSC4MessagePreSave
   0x00B08350  0x26C63344  kSC4MessageSave
   0x00B08358  0x26C63345  kSC4MessagePostSave
   0x00B08360  0xCAD61E00  kSC4MessageMouseScrollBegin
   0x00B08368  0xEAD61E16  kSC4MessageMouseScrollEnd
   0x00B08370  0x2B96B3EA  kSC4MessagePostAppServicesInit
   0x00B08378  0xAB96B05F  kSC4MessagePostAppServicesInitComplete
   0x00B08380  0x896FDC70  kSC4MessagePropExemplarDataUpdated
   0x00B08388  0x6AC284F3  kSC4MessageConnectionsReady
   0x00B08390  0x8A878385  kSC4MessageAutomatonApprochingIntersection
   0x00B08398  0x09C8B8EA  kSC4MessageChangeInputControl
   0x00B083A0  0x07699455  kSC4MessageZoningChange
   0x00B083A8  0x29A89B05  kSC4MessageUnilateralQuit
   0x00B083B0  0x49F10111  kSC4MessageTypeDispatchFollow
   0x00B083B8  0xC9F1011A  kSC4MessageTypeDispatchActivate
   0x00B083C0  0x697D01EE  kSC4MessageViewAnimTick
   0x00B083C8  0x8A385DD8  kSC4MessageAutomataPlaySFX
   0x00B083D0  0xAA396960  kSC4MessageAutomataStopSFX
   0x00B083D8  0xA9E3B6E2  kSC4MessageCrowdReactionEvent
   0x00B083E0  0xA9E3B6E3  kSC4MessageCrowdReactionResult
   0x00B083E8  0xCA8DCDB4  kSC4MessageEmergencyVehicleRouteBlocked
   0x00B083F0  0x49E64801  kSC4MessagePedestrianChangeState
   0x00B083F8  0x49E64802  kSC4MessageAutomataCollision
   0x00B08400  0x09D92FC3  kSC4MessageAutomataEvent
   0x00B08408  0xEA298D50  kSC4MessageRemoveAutomataController
   0x00B08410  0xABBBCA64  kSC4MessageCitySituationActivationChange
   0x00B08418  0xAC083D7D  kSC4MessageCitySituationProgressChange
   0x00B08420  0xCC0D905F  kSC4MessageMissionEffectStarted
   0x00B08428  0x0BB324BD  kSC4MessagePlayerDriveControlCallback
   0x00B08430  0x0A36F1E8  kSC4MessageTornadoDead
   0x00B08438  0x0A36F1E9  kSC4MessageTornadoLocation
